observation_date,DDOE02ARA086NWDB
1960-01-01,0.00000000002800000000000000
1961-01-01,0.00000000003300000000000000
1962-01-01,0.00000000004400000000000000
1963-01-01,0.00000000005600000000000000
1964-01-01,0.00000000006600000000000000
1965-01-01,0.00000000009199990000000000
1966-01-01,0.00000000012000000000000000
1967-01-01,0.00000000015000000000000000
1968-01-01,0.00000000017000000000000001
1969-01-01,0.00000000018000000000000000
1970-01-01,0.00000000021999999999999999
1971-01-01,0.00000000030000000000000000
1972-01-01,0.00000000048999999999999996
1973-01-01,0.00000000070999990000000000
1974-01-01,0.00000000099000000000000010
1975-01-01,0.00000000429999999999999963
1976-01-01,0.00000001899999989999999970
1977-01-01,0.00000004999999999999999774
1978-01-01,0.00000014000000000000000955
1979-01-01,0.00000033000000000000001683
1980-01-01,0.00000060999999999999998298
1981-01-01,0.00000139999999999999993665
1982-01-01,0.00000440000000000000022441
1983-01-01,0.00002300000000000000001800
1984-01-01,0.00018400000000000000014398
1985-01-01,0.00089499999999999996225242
1986-01-01,0.00162900000000000002263467
1987-01-01,0.00447599999999999994398925
1988-01-01,0.02183300000000000171129777
1989-01-01,1.09671999999999991715071701
1990-01-01,15.83580000000000076454398368
1991-01-01,29.13589999999999946567186271
1992-01-01,34.24800000000000466116034659
1993-01-01,36.77040000000000219415596803
1994-01-01,38.18760000000000331965566147
1995-01-01,38.80160000000000053432813729
1996-01-01,38.82269999999999754436430521
1997-01-01,38.95000000000000284217094304
1998-01-01,39.20879999999999654392013326
1999-01-01,38.49629999999999796500560478
2000-01-01,38.21479999999999677129380871
2001-01-01,37.62500000000000000000000000
2002-01-01,53.03349999999999653255144949
2003-01-01,54.97259999999999990905052982
2004-01-01,58.32650000000000289901436190
2005-01-01,65.51609999999999445208231919
2006-01-01,71.96169999999999333795130951
2007-01-01,78.06119999999999947704054648
2008-01-01,83.71139999999999758983904030
2009-01-01,90.16060000000000229647412198
2010-01-01,100.00000000000000000000000000
2011-01-01,109.53300000000000125055521494
2012-01-01,121.39799999999999613464751747
2013-01-01,134.66800000000000636646291241
2014-01-01,105.50700000000000500222085975
2015-01-01,120.60399999999999920419213595
